author_id,created_at,id,text,geo,source,place,coordinates,lat,lon,label,score
3153741164,2022-03-02 20:51:39+00:00,1499125303737606146,Did anyone watch the State of the Union? I’m trying to decide whether to watch it or just accept that it was shit and not bother,{'place_id': '01864a8a64df9dc4'},Twitter for iPhone,01864a8a64df9dc4,"-37.9725599375,145.15252629070534",-37.9725599375,145.15252629070534,NEGATIVE,0.9987344145774841
278725934,2022-03-02 20:47:32+00:00,1499124266440212481,"Cruz blasts 'out of touch' Biden 'denying responsibility' for multiple crises at home and abroad
The Texas senator reacted to Biden's State of the Union address, criticizing the president for 'denying responsibility' for the crises https://t.co/138Tyq4m0F",{'place_id': '009924a469d7ace1'},Twitter for iPhone,009924a469d7ace1,"-2.3517029992340097,-80.19690558052683",-2.3517029992340097,-80.19690558052683,NEGATIVE,0.9948917627334595
1308539978314518529,2022-03-02 20:46:17+00:00,1499123954253905920,#BuildBackBetter - @joebiden @potus needs to start with U.S. energy!! Make American #EnergyIndependence !!! #inflation #SOTU #oil #gasprices,{'place_id': '019d2c30621e5daf'},Twitter for iPhone,019d2c30621e5daf,"36.244733499999995,-115.05603592895272",36.2447335,-115.05603592895272,NEGATIVE,0.9968859553337097
804318149491429376,2022-03-02 20:46:10+00:00,1499123922633175040,"Miss the speech? We got you covered #SOTU #BurnPits @Gruntstyle 
https://t.co/9TfFTKUOB3",{'place_id': '946ccd22e1c9cda1'},Twitter for iPhone,946ccd22e1c9cda1,"40.431385500000005,-79.97672218198605",40.431385500000005,-79.97672218198605,NEGATIVE,0.999337375164032
1466677386175418369,2022-03-02 20:44:23+00:00,1499123474782035971,"Biden: “First, cut the cost of prescription drugs.” 
I agree, which is why we need to replace Scott Peters. He opposed H.R.3, a bill to give Medicare the ability to negotiate drug prices. We need leaders who will fight for people instead of corporate profits. #SOTU #BigPharma https://t.co/I1WErkI4OH",{'place_id': 'a592bd6ceb1319f7'},Twitter Web App,a592bd6ceb1319f7,"32.87151265,-117.18472689764563",32.87151265,-117.18472689764565,NEUTRAL,0.8537811636924744
981580285103009792,2022-03-02 20:43:42+00:00,1499123301792292867,"The news media on #biden #sotu low viewers…. Well, it’s a divided nation.

Biden in the speech, Russia tried to divide us, but we are United.

Joey… we were divided a LONG time ago by a left movement that called #Republicans terrorists.",{'place_id': '4ec01c9dbc693497'},Twitter for iPhone,4ec01c9dbc693497,"27.698442,-81.55781848866349",27.698442,-81.55781848866349,NEGATIVE,0.9879058599472046
162204416,2022-03-02 20:42:53+00:00,1499123097059958784,"@JoshT1776 No. 
I didn't Watch
&amp; 
Many others
Who 
Replied to a Tweet
""Describe #SOTU in 3 words:""
I Didn't Watch 
Was 
By far, the most frequent answer!

It's a Clown Show🤡
In
Our White House!🇺🇸",{'place_id': '481390ee09b847ef'},Twitter for Android,481390ee09b847ef,"41.3465775,-89.11801631654782",41.3465775,-89.11801631654782,NEGATIVE,0.9950738549232483
466181309,2022-03-02 20:42:23+00:00,1499122971016896512,Imagine being the Governor of the third largest state in the Union and using your time to bully a bunch of college kids who are probably really excited to see you. https://t.co/12WQpcvsIC,{'place_id': 'ecbe2aea853af44e'},Twitter for iPhone,ecbe2aea853af44e,"30.4580635,-84.28339930180181",30.4580635,-84.28339930180181,NEGATIVE,0.9798849821090698
32874783,2022-03-02 20:38:21+00:00,1499121955227803657,Narcissistic - a mental condition of inflated sense importance and need for attention and and a lack of empathy for others. #mentalhealth #Tesla #ElonMusk #SOTU #POTUS #JoeBiden https://t.co/yVNUGoITcu,{'place_id': '3078869807f9dd36'},Twitter for iPhone,3078869807f9dd36,"52.506786500000004,13.397339923404974",52.5067865,13.397339923404974,NEGATIVE,0.9995161294937134
981580285103009792,2022-03-02 20:35:49+00:00,1499121321250377739,"On the left is the #sotu speech ratings for last night… 32 million.  They keep calling it the #first” or “inaugural”speech, because the one last year only got 26 million.  Even so, you have to go back to Obama to find SOTU speech numbers this low. https://t.co/UEiuTAWrue",{'place_id': '4ec01c9dbc693497'},Twitter for iPhone,4ec01c9dbc693497,"27.698442,-81.55781848866349",27.698442,-81.55781848866349,NEGATIVE,0.9996016621589661
